author,comment,likes,published_at
@muhamadrafli7536,"Kalau lgi terkena bncana sudah tidak memikir kan barang dunia itu semua hnya tiitpan, diksih selamat dan msih hidup saja sudah sangat alhamdulillah  smga buat org2 dsna yg msih selamat, bisa hidup kmbali sprti biasanya sehat2 lncar semua rezeki nya",1,2025-12-13T13:48:23Z
@MihanFamily,"brengsek kalian para pejabat yg bilang kondisi sudah membaik, dan bilang fery si paling aceh.. kalian liat ini, coba turun langsung ke daerah paling terdampak",1,2025-12-13T13:10:05Z
@nurniskainama7238,"Alhamdulillah orang baik , istiqomah dlm kebaikan . Aamiin Ya Allah 😭😭🤲",0,2025-12-13T12:46:42Z
@mandakaadyatma9827,Respect untuk seluruh rakyat Indonesia. Terima kasih untuk tim sudah menunjukkan kondisi real disana,0,2025-12-13T12:42:20Z
@BagusSatria-s1u,"Bagi relawan membantu adalah membantu,
Bagi pemerintah menangani bencana adalah saatnya cari muka dan cari proyek.",0,2025-12-13T12:15:44Z
@ahmadkahfi5415,"Panjang umur orang baik
Panjang umur perjuangan❤",0,2025-12-13T12:13:02Z
@RitaSetyani-n2f,Semangat selalu bang fery selalu istiqomah dalam kebaikan rakyat Indonesia sangat mendukungmu. Semoga selallu dalam lindungan Allah amiin,0,2025-12-13T11:52:31Z
@TatikBali,❤❤❤❤❤❤❤,0,2025-12-13T11:50:11Z
@pewcreative2587,Lambat kali pemerintah geraknya,0,2025-12-13T10:34:20Z
@pesekaja3629,Al'amalu liajlinnas syirkun Tarkul 'Amal liajlinnas riiyaa',0,2025-12-13T09:40:21Z
@azlanalfattah2016,Semoga bermanfaat uang 10m nya ya ❤,0,2025-12-13T09:20:53Z
@Lilithkisssss,verel gini lo verellll,0,2025-12-13T09:13:34Z
@AsRifaldi-i9o,next setelah program bantuan kemanusiaan bikin gerakan kemajuan pendidikan biar kualitas warga nya terbaik,0,2025-12-13T07:29:01Z
@Cilukba.Edukids,Terbaik bang ❤,0,2025-12-13T07:18:24Z
@rieswandyprabowo,Pahlawan bangsaku..om very,0,2025-12-13T06:43:43Z
@meilypujianti4147,"Masya Allah, doa terbaik untuk semuanya",0,2025-12-13T06:18:03Z
@HajiNoel,🙂4:42 itu banyak pohon Sawit tapi kok masi menggenang? Apakah tidak se efektif Tanaman hutan yang di GUNDULI ?,1,2025-12-13T05:15:04Z
@Rx_kg7,"negara kia sebenarnya sudah hancur, tapi hanya karna masyarakatnya aja yang kompak",0,2025-12-13T05:09:41Z
@rohmatunkhasanah8232,Terima kasih.,0,2025-12-13T03:58:09Z
@Rominel_Adventure,"Udah kehabisan kata-kata dan makin muak dengan Kepemimpinan negara Konoha ini. 
Pendidikan tinggi-tinggi Ekosistem aja gak tahu. Pohon asli hutan disamain dong dengan pohon sawit ""sama-sama pohon"" judulnya😅.",0,2025-12-13T03:49:56Z
@AhmadPadilah-o6f,"Sabar dan tangguh selalu buat orang"" terdampak kami warga indonesia yang tidak terafiliasi dengan dunia Politik merasakan penderitaanmu, kami warga Indonesia akan terus senantiasa membantu bergotong royong untuk meringakan saudara-saudara kami di Sumatera...",0,2025-12-13T03:12:10Z
@rehanroblox218,Bang Ferry Ke Manusia Dan Hewan Pun Saling Bantu❤,0,2025-12-13T02:46:20Z
@adiparola5226,SUBHANALLAH MASIH BANYAK ORANG BAIK SEHAT SELALU SEMUA RELAWAN,0,2025-12-13T02:19:06Z
@ilhamkishan,"Tau gak bang setelah Sumatera Hancur kini mereka mulai pembalakan hutan di Sulawesi yg masih rimbun, bahkan di hutan2 adat dimana ketua2 adat yg menjaga hutan dikriminalisasi, apa mereka mau bencana ekologi menimpa seluruh Indonesia😢?",0,2025-12-13T02:05:58Z
@novianiutami8724,❤❤❤❤❤,0,2025-12-13T02:00:31Z
